millis,lat,lon,speed_mph,heading_deg,accel_x_g,accel_y_g,accel_z_g
344004,39.792128,-86.238500,0.56,0.0,0.0320,0.2467,1.1307
344504,39.792124,-86.238504,0.17,0.0,0.0254,0.2941,0.9948
345004,39.792124,-86.238504,0.17,0.0,0.0493,0.2533,1.1856
345504,39.792122,-86.238505,0.37,0.0,0.0073,0.2548,0.9657
346004,39.792122,-86.238505,0.37,0.0,0.0610,0.2802,1.0321
346504,39.792119,-86.238507,1.04,211.1,0.0564,0.2585,0.9155
347004,39.792119,-86.238507,1.04,211.1,-0.0056,0.2682,0.9626
347504,39.792114,-86.238511,1.82,213.2,0.0305,0.3017,0.9606
348004,39.792114,-86.238511,1.82,213.2,0.0393,0.3683,0.9487
348504,39.792109,-86.238516,1.39,214.1,-0.0737,0.3366,1.2510
349004,39.792109,-86.238516,1.39,214.1,-0.0198,0.4186,0.9787
349504,39.792106,-86.238522,1.74,229.4,-0.0083,0.4144,0.9457
350004,39.792106,-86.238522,1.74,229.4,-0.0020,0.4173,0.8823
350504,39.792105,-86.238530,1.88,243.3,-0.0122,0.4466,0.9511
351004,39.792105,-86.238530,1.88,243.3,0.0376,0.3578,0.9511
351504,39.792108,-86.238539,1.55,263.4,-0.0088,0.2453,0.8984
352004,39.792108,-86.238539,1.55,263.4,0.0261,0.2567,1.0082
352504,39.792111,-86.238548,1.78,270.4,0.1006,0.3126,0.9411
353004,39.792111,-86.238548,1.78,270.4,0.0268,0.2331,0.9352
353504,39.792114,-86.238557,1.85,271.1,0.1308,0.2289,0.9965
354004,39.792114,-86.238557,1.85,271.1,0.0615,0.2514,0.9530
354504,39.792117,-86.238570,2.65,271.2,0.0259,0.2638,0.9626
355004,39.792117,-86.238570,2.65,271.2,-0.0063,0.2702,0.9294
355504,39.792120,-86.238585,2.97,270.1,0.0268,0.2909,0.9914
356004,39.792120,-86.238585,2.97,270.1,0.0473,0.3009,0.9447
356504,39.792123,-86.238601,2.72,269.5,0.0412,0.3500,1.0119
357004,39.792123,-86.238601,2.72,269.5,-0.0085,0.3488,1.0453
357504,39.792126,-86.238611,1.98,271.2,-0.0264,0.3461,1.0294
358004,39.792126,-86.238611,1.98,271.2,0.0027,0.4254,0.9264
358504,39.792128,-86.238618,0.91,271.2,-0.0349,0.5474,0.8901
359004,39.792128,-86.238618,0.91,271.2,0.0142,0.2319,0.4183
359504,39.792132,-86.238620,1.27,271.2,-0.0332,0.3951,0.9831
360004,39.792132,-86.238620,1.27,271.2,0.0586,0.3107,0.9433
360504,39.792133,-86.238617,0.09,271.2,0.0893,0.3139,0.9489
361004,39.792133,-86.238617,0.09,271.2,0.0552,0.1860,1.0045
361504,39.792137,-86.238615,0.63,271.2,0.0305,0.2585,0.9733
362004,39.792137,-86.238615,0.63,271.2,-0.0076,0.2485,1.0316
362504,39.792145,-86.238615,1.86,299.0,0.0820,0.2487,0.9567
363004,39.792145,-86.238615,1.86,299.0,0.0452,0.3187,0.9975
363504,39.792153,-86.238613,1.73,328.3,0.0190,0.2414,0.9401
364004,39.792153,-86.238613,1.73,328.3,0.0239,0.2834,0.9379
364504,39.792162,-86.238612,2.08,348.9,0.0381,0.2873,0.9911
365004,39.792162,-86.238612,2.08,348.9,0.0051,0.2990,0.9738
365504,39.792172,-86.238611,2.23,353.4,0.0334,0.2851,0.9330
366004,39.792172,-86.238611,2.23,353.4,-0.0027,0.2467,0.9774
366504,39.792182,-86.238611,2.29,355.7,0.0832,0.2743,0.9774
367004,39.792182,-86.238611,2.29,355.7,0.0320,0.2904,0.9645
367504,39.792192,-86.238610,2.52,356.5,0.0666,0.2829,0.9360
368004,39.792192,-86.238610,2.52,356.5,0.0713,0.2941,0.9613
368504,39.792206,-86.238612,3.31,350.7,0.0891,0.2846,0.9394
369004,39.792206,-86.238612,3.31,350.7,-0.0185,0.3056,0.9438
369504,39.792217,-86.238611,2.43,354.6,0.0139,0.3883,0.9562
370004,39.792217,-86.238611,2.43,354.6,0.0098,0.3998,0.9333
370504,39.792224,-86.238611,0.64,354.6,0.0632,0.2980,0.9526
371004,39.792224,-86.238611,0.64,354.6,0.0300,0.2953,0.9626
371504,39.792226,-86.238612,0.07,354.6,0.0415,0.2685,0.9882
372004,39.792226,-86.238612,0.07,354.6,0.0278,0.2775,0.9687
372504,39.792228,-86.238612,0.02,354.6,0.0308,0.3146,0.9809
373004,39.792228,-86.238612,0.02,354.6,0.0156,0.2860,0.9584
373504,39.792230,-86.238612,0.03,354.6,0.0268,0.2870,0.9760
